winner_fighter,looser_fighter,match_number,method,referee,number_rounds,round_time,weight_class,event_date,event_location,event_name
"
Colby Covington
","
Jorge Masvidal
",Match 13,Method Decision (Unanimous),Referee Herb Dean,Round 5,Time 5:00,Welterweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Rafael dos Anjos,Renato Carneiro,"


                        12                    ",Decision (Unanimous),Marc Goddard,5,5:00,160lb Catchweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Bryce Mitchell,Edson Barboza,"


                        11                    ",Decision (Unanimous),Mark Smith,3,5:00,Featherweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Kevin Holland,Alex Oliveira,"


                        10                    ",TKO (Elbows),Chris Tognoni,2,0:38,Welterweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Sergey Spivak,Greg Hardy,"


                        9                    ",TKO (Punches),Marc Goddard,1,2:16,Heavyweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Jalin Turner,Jamie Mullarkey,"


                        8                    ",TKO (Punches),Herb Dean,2,0:46,Lightweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Marina Rodriguez,Xiaonan Yan,"


                        7                    ",Decision (Split),Chris Tognoni,3,5:00,Strawweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Nicolae Negumereanu,Kennedy Nzechukwu,"


                        6                    ",Decision (Split),Mark Smith,3,5:00,Light Heavyweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Maryna Moroz,Mariya Agapova,"


                        5                    ",Submission (Arm-Triangle Choke),Herb Dean,2,3:27,Flyweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Umar Nurmagomedov,Brian Kelleher,"


                        4                    ",Submission (Rear-Naked Choke),Marc Goddard,1,3:15,Featherweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Tim Elliott,Tagir Ulanbekov,"


                        3                    ",Decision (Unanimous),Chris Tognoni,3,5:00,Flyweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Ludovit Klein,Devonte Smith,"


                        2                    ",Decision (Split),Marc Goddard,3,5:00,Lightweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
Dustin Jacoby,Michal Oleksiejczuk,"


                        1                    ",Decision (Unanimous),Mark Smith,3,5:00,Light Heavyweight,2022-03-05T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 272 - Covington vs. Masvidal
"
Islam Makhachev
","
Bobby Green
",Match 11,Method TKO (Punches),Referee Herb Dean,Round 1,Time 3:23,160lbCatchweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Wellington Turman,Misha Cirkunov,"


                        10                    ",Submission (Armbar),Mark Smith,2,1:29,Middleweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Priscila Cachoeira,Ji Yeon Kim,"


                        9                    ",Decision (Unanimous),Keith Peterson,3,5:00,Flyweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Arman Tsarukyan,Joel Alvarez,"


                        8                    ",TKO (Punches),Chris Tognoni,2,1:57,Lightweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Armen Petrosyan,Gregory Rodrigues,"


                        7                    ",Decision (Split),Jason Herzog,3,5:00,Middleweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Ignacio Bahamondes,Zhu Rong,"


                        6                    ",Submission (Brabo Choke),Keith Peterson,3,1:40,160lb Catchweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Josiane Nunes,Ramona Pascual,"


                        5                    ",Decision (Unanimous),Mark Smith,3,5:00,Featherweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Terrance McKinney,Fares Ziam,"


                        4                    ",Submission (Rear-Naked Choke),Herb Dean,1,2:11,Lightweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Jonathan Martinez,Alejandro Perez,"


                        3                    ",Decision (Unanimous),Jason Herzog,3,5:00,Featherweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Ramiz Brahimaj,Micheal Gillmore,"


                        2                    ",Submission (Rear-Naked Choke),Mark Smith,1,2:02,Welterweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
Carlos Hernandez,Victor Altamirano,"


                        1                    ",Decision (Split),Chris Tognoni,3,5:00,Flyweight,2022-02-26T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 202 - Makhachev vs. Green
"
Jamahal Hill
","
Johnny Walker
",Match 12,Method KO (Punch),Referee Jason Herzog,Round 1,Time 2:55,Light Heavyweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Kyle Daukaus,Jamie Pickett,"


                        11                    ",Submission (Brabo Choke),Herb Dean,1,4:59,195lb Catchweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Parker Porter,Alan Baudot,"


                        10                    ",Decision (Unanimous),Mark Smith,3,5:00,Heavyweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Jim Miller,Nikolas Motta,"


                        9                    ",TKO (Punches),Keith Peterson,2,1:58,Lightweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Joaquin Buckley,Abdul Razak Alhassan,"


                        8                    ",Decision (Split),Herb Dean,3,5:00,Middleweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
David Onama,Gabriel Benitez,"


                        7                    ",KO (Punches),Mark Smith,1,4:24,148lb Catchweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Stephanie Egger,Jessica-Rose Clark,"


                        6                    ",Submission (Armbar),Jason Herzog,1,3:44,Bantamweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Chas Skelly,Mark Striegl,"


                        5                    ",TKO (Knee and Punches),Keith Peterson,2,2:01,Featherweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Gloria de Paula,Diana Belbita,"


                        4                    ",Decision (Unanimous),Mark Smith,3,5:00,Strawweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Chad Anheliger,Jesse Strader,"


                        3                    ",TKO (Punches),Herb Dean,3,3:33,Bantamweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Jonathan Pearce,Christian Rodriguez,"


                        2                    ",Decision (Unanimous),Jason Herzog,3,5:00,Featherweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
Mario Bautista,Jay Perrin,"


                        1                    ",Decision (Unanimous),Keith Peterson,3,5:00,Bantamweight,2022-02-19T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 201 - Walker vs. Hill
"
Israel Adesanya
","
Robert Whittaker
",Match 14,Method Decision (Unanimous),Referee Herb Dean,Round 5,Time 5:00,Middleweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Tai Tuivasa,Derrick Lewis,"


                        13                    ",KO (Elbow),Dan Miragliotta,2,1:40,Heavyweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Jared Cannonier,Derek Brunson,"


                        12                    ",KO (Elbows),Kerry Hatley,2,4:29,Middleweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Renato Carneiro,Alexander Hernandez,"


                        11                    ",Submission (Rear-Naked Choke),Mike Beltran,2,1:23,Lightweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Bobby Green,Nasrat Haqparast,"


                        10                    ",Decision (Unanimous),Mike Beltran,3,5:00,Lightweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Andrei Arlovski,Jared Vanderaa,"


                        9                    ",Decision (Split),Mike Beltran,3,5:00,Heavyweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Casey O'Neill,Roxanne Modafferi,"


                        8                    ",Decision (Split),Jacob Montalvo,3,5:00,Flyweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Kyler Phillips,Marcelo Rojo,"


                        7                    ",Submission (Triangle Armbar),Dan Miragliotta,3,1:48,Bantamweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Carlos Ulberg,Fabio Cherant,"


                        6                    ",Decision (Unanimous),Dan Miragliotta,3,5:00,Light Heavyweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Ronnie Lawrence,Leomana Martinez,"


                        5                    ",Decision (Unanimous),Jacob Montalvo,3,5:00,Bantamweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Jacob Malkoun,A.J. Dobson,"


                        4                    ",Decision (Unanimous),Herb Dean,3,5:00,Middleweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Douglas Silva de Andrade,Sergey Morozov,"


                        3                    ",Technical Submission (Rear-Naked Choke),Kerry Hatley,2,3:34,Bantamweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Jeremiah Wells,Mike Mathetha,"


                        2                    ",Technical Submission (Rear-Naked Choke),Jacob Montalvo,1,4:38,Welterweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
Maxim Grishin,William Knight,"


                        1                    ",Decision (Unanimous),Herb Dean,3,5:00,Heavyweight,2022-02-12T00:00:00-08:00," Toyota Center, Houston, Texas, United States",UFC 271 - Adesanya vs. Whittaker 2
"
Sean Strickland
","
Jack Hermansson
",Match 13,Method Decision (Split),Referee Herb Dean,Round 5,Time 5:00,Middleweight,2022-02-05T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 200 - Hermansson vs. Strickland
Nick Maximov,Punahele Soriano,"


                        12                    ",Decision (Split),Mark Smith,3,5:00,Middleweight,2022-02-05T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 200 - Hermansson vs. Strickland
Shavkat Rakhmonov,Carlston Harris,"


                        11                    ",KO (Spinning Hook Kick and Punches),Mike Beltran,1,4:10,Welterweight,2022-02-05T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 200 - Hermansson vs. Strickland
Brendan Allen,Sam Alvey,"


                        10                    ",Submission (Rear-Naked Choke),Chris Tognoni,2,2:10,Light Heavyweight,2022-02-05T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 200 - Hermansson vs. Strickland
Bryan Battle,Tresean Gore,"


                        9                    ",Decision (Unanimous),Herb Dean,3,5:00,Middleweight,2022-02-05T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 200 - Hermansson vs. Strickland
Julian Erosa,Steven Peterson,"


                        8                    ",Decision (Split),Mark Smith,3,5:00,149lb Catchweight,2022-02-05T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 200 - Hermansson vs. Strickland
John Castaneda,Miles Johns,"


                        7                    ",Technical Submission (Arm-Triangle Choke),Mike Beltran,3,1:38,Bantamweight,2022-02-05T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 200 - Hermansson vs. Strickland
Hakeem Dawodu,Michael Trizano,"


                        6                    ",Decision (Unanimous),Chris Tognoni,3,5:00,Featherweight,2022-02-05T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 200 - Hermansson vs. Strickland
Chidi Njokuani,Marc-Andre Barriault,"


                        5                    ",KO (Punches),Herb Dean,1,0:16,Middleweight,2022-02-05T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 200 - Hermansson vs. Strickland
Alexis Davis,Julija Stoliarenko,"


                        4                    ",Decision (Unanimous),Mark Smith,3,5:00,Bantamweight,2022-02-05T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 200 - Hermansson vs. Strickland
Jailton Almeida,Danilo Marques,"


                        3                    ",TKO (Punches),Mike Beltran,1,2:57,Light Heavyweight,2022-02-05T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 200 - Hermansson vs. Strickland
Philip Rowe,Jason Witt,"


                        2                    ",TKO (Punches),Chris Tognoni,2,2:15,Welterweight,2022-02-05T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 200 - Hermansson vs. Strickland
Malcolm Gordon,Denys Bondar,"


                        1                    ",TKO (Arm Injury),Mark Smith,1,1:22,Flyweight,2022-02-05T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 200 - Hermansson vs. Strickland
"
Francis Ngannou
","
Ciryl Gane
",Match 11,Method Decision (Unanimous),Referee Herb Dean,Round 5,Time 5:00,Heavyweight,2022-01-22T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC 270 - Ngannou vs. Gane
Deiveson Figueiredo,Brandon Moreno,"


                        10                    ",Decision (Unanimous),Jason Herzog,5,5:00,Flyweight,2022-01-22T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC 270 - Ngannou vs. Gane
Michel Pereira,Andre Fialho,"


                        9                    ",Decision (Unanimous),Mike Beltran,3,5:00,Welterweight,2022-01-22T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC 270 - Ngannou vs. Gane
Said Nurmagomedov,Cody Stamann,"


                        8                    ",Submission (Guillotine Choke),Frank Trigg,1,0:47,Bantamweight,2022-01-22T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC 270 - Ngannou vs. Gane
Michael Morales,Trevin Giles,"


                        7                    ",TKO (Punches),Mike Beltran,1,4:06,Welterweight,2022-01-22T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC 270 - Ngannou vs. Gane
Victor Henry,Raoni Barcelos,"


                        6                    ",Decision (Unanimous),Jason Herzog,3,5:00,Bantamweight,2022-01-22T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC 270 - Ngannou vs. Gane
Jack Della Maddalena,Pete Rodriguez,"


                        5                    ",TKO (Punches),Frank Trigg,1,2:59,Welterweight,2022-01-22T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC 270 - Ngannou vs. Gane
Tony Gravely,Saimon Oliveira,"


                        4                    ",Decision (Unanimous),Herb Dean,3,5:00,Bantamweight,2022-01-22T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC 270 - Ngannou vs. Gane
Matt Frevola,Genaro Valdez,"


                        3                    ",TKO (Punches),Mike Beltran,1,3:15,Lightweight,2022-01-22T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC 270 - Ngannou vs. Gane
Vanessa Demopoulos,Silvana Gomez Juarez,"


                        2                    ",Submission (Armbar),Frank Trigg,1,2:25,Strawweight,2022-01-22T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC 270 - Ngannou vs. Gane
Jasmine Jasudavicius,Kay Hansen,"


                        1                    ",Decision (Unanimous),Jason Herzog,3,5:00,Flyweight,2022-01-22T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC 270 - Ngannou vs. Gane
"
Calvin Kattar
","
Giga Chikadze
",Match 10,Method Decision (Unanimous),Referee Keith Peterson,Round 5,Time 5:00,Featherweight,2022-01-15T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 32 - Kattar vs. Chikadze
Jake Collier,Chase Sherman,"


                        9                    ",Submission (Rear-Naked Choke),Herb Dean,1,2:26,Heavyweight,2022-01-15T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 32 - Kattar vs. Chikadze
Brandon Royval,Rogerio Bontorin,"


                        8                    ",Decision (Split),Mark Smith,3,5:00,Flyweight,2022-01-15T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 32 - Kattar vs. Chikadze
Katlyn Chookagian,Jennifer Maia,"


                        7                    ",Decision (Unanimous),Chris Tognoni,3,5:00,Flyweight,2022-01-15T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 32 - Kattar vs. Chikadze
Viacheslav Borshchev,Dakota Bush,"


                        6                    ",KO (Punch to the Body),Herb Dean,1,3:47,Lightweight,2022-01-15T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 32 - Kattar vs. Chikadze
Bill Algeo,Joanderson Brito,"


                        5                    ",Decision (Unanimous),Keith Peterson,3,5:00,Featherweight,2022-01-15T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 32 - Kattar vs. Chikadze
Jamie Pickett,Joseph Holmes,"


                        4                    ",Decision (Unanimous),Mark Smith,3,5:00,Middleweight,2022-01-15T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 32 - Kattar vs. Chikadze
Court McGee,Ramiz Brahimaj,"


                        3                    ",Decision (Unanimous),Chris Tognoni,3,5:00,Welterweight,2022-01-15T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 32 - Kattar vs. Chikadze
Brian Kelleher,Kevin Croom,"


                        2                    ",Decision (Unanimous),Keith Peterson,3,5:00,Featherweight,2022-01-15T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 32 - Kattar vs. Chikadze
T.J. Brown,Charles Rosa,"


                        1                    ",Decision (Unanimous),Mark Smith,3,5:00,Lightweight,2022-01-15T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 32 - Kattar vs. Chikadze
"
Derrick Lewis
","
Chris Daukaus
",Match 13,Method KO (Punches),Referee Mark Smith,Round 1,Time 3:36,Heavyweight,2021-12-18T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 199 - Lewis vs. Daukaus
Belal Muhammad,Stephen Thompson,"


                        12                    ",Decision (Unanimous),Herb Dean,3,5:00,Welterweight,2021-12-18T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 199 - Lewis vs. Daukaus
Amanda Lemos,Angela Hill,"


                        11                    ",Decision (Split),Jason Herzog,3,5:00,Strawweight,2021-12-18T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 199 - Lewis vs. Daukaus
Ricky Simon,Raphael Assuncao,"


                        10                    ",KO (Punches),Chris Tognoni,2,2:14,Bantamweight,2021-12-18T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 199 - Lewis vs. Daukaus
Mateusz Gamrot,Diego Ferreira,"


                        9                    ",TKO (Submission to Knee to the Body),Jason Herzog,2,3:26,Lightweight,2021-12-18T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 199 - Lewis vs. Daukaus
Cub Swanson,Darren Elkins,"


                        8                    ",TKO (Spinning Wheel Kick and Punches),Herb Dean,1,2:12,Featherweight,2021-12-18T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 199 - Lewis vs. Daukaus
Gerald Meerschaert,Dustin Stoltzfus,"


                        7                    ",Submission (Rear-Naked Choke),Mark Smith,3,2:58,Middleweight,2021-12-18T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 199 - Lewis vs. Daukaus
Justin Tafa,Harry Hunsucker,"


                        6                    ",KO (Head Kick),Herb Dean,1,1:53,Heavyweight,2021-12-18T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 199 - Lewis vs. Daukaus
Melissa Gatto,Sijara Eubanks,"


                        5                    ",TKO (Body Kick and Punches),Chris Tognoni,3,0:45,128lb Catchweight,2021-12-18T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 199 - Lewis vs. Daukaus
Charles Jourdain,Andre Ewell,"


                        4                    ",Decision (Unanimous),Mark Smith,3,5:00,Featherweight,2021-12-18T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 199 - Lewis vs. Daukaus
Raquel Pennington,Macy Chiasson,"


                        3                    ",Submission (Guillotine Choke),Jason Herzog,2,3:07,149lb Catchweight,2021-12-18T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 199 - Lewis vs. Daukaus
Don'Tale Mayes,Josh Parisian,"


                        2                    ",TKO (Elbows),Herb Dean,3,3:26,Heavyweight,2021-12-18T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 199 - Lewis vs. Daukaus
Jordan Leavitt,Matt Sayles,"


                        1                    ",Submission (Inverted Triangle Choke),Chris Tognoni,2,2:05,Lightweight,2021-12-18T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC Fight Night 199 - Lewis vs. Daukaus
"
Charles Oliveira
","
Dustin Poirier
",Match 14,Method Submission (Rear-Naked Choke),Referee Herb Dean,Round 3,Time 1:02,Lightweight,2021-12-11T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 269 - Oliveira vs. Poirier
Julianna Pena,Amanda Nunes,"


                        13                    ",Submission (Rear-Naked Choke),Marc Goddard,2,3:26,Bantamweight,2021-12-11T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 269 - Oliveira vs. Poirier
Geoff Neal,Santiago Ponzinibbio,"


                        12                    ",Decision (Split),Mark Smith,3,5:00,Welterweight,2021-12-11T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 269 - Oliveira vs. Poirier
Kai Kara France,Cody Garbrandt,"


                        11                    ",TKO (Punches),Herb Dean,1,3:21,Flyweight,2021-12-11T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 269 - Oliveira vs. Poirier
Sean O'Malley,Raulian Paiva,"


                        10                    ",TKO (Punches),Jason Herzog,1,4:42,Bantamweight,2021-12-11T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 269 - Oliveira vs. Poirier
Josh Emmett,Dan Ige,"


                        9                    ",Decision (Unanimous),Chris Tognoni,3,5:00,Featherweight,2021-12-11T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 269 - Oliveira vs. Poirier
Dominick Cruz,Pedro Munhoz,"


                        8                    ",Decision (Unanimous),Marc Goddard,3,5:00,Bantamweight,2021-12-11T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 269 - Oliveira vs. Poirier
Tai Tuivasa,Augusto Sakai,"


                        7                    ",KO (Punches),Mark Smith,2,0:26,Heavyweight,2021-12-11T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 269 - Oliveira vs. Poirier
Bruno Silva,Jordan Wright,"


                        6                    ",TKO (Punches),Herb Dean,1,1:28,Middleweight,2021-12-11T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 269 - Oliveira vs. Poirier
Andre Muniz,Eryk Anders,"


                        5                    ",Submission (Armbar),Marc Goddard,1,3:13,Middleweight,2021-12-11T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 269 - Oliveira vs. Poirier
Erin Blanchfield,Miranda Maverick,"


                        4                    ",Decision (Unanimous),Chris Tognoni,3,5:00,Flyweight,2021-12-11T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 269 - Oliveira vs. Poirier
Ryan Hall,Darrick Minner,"


                        3                    ",Decision (Unanimous),Jason Herzog,3,5:00,Featherweight,2021-12-11T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 269 - Oliveira vs. Poirier
Tony Kelley,Randy Costa,"


                        2                    ",TKO (Elbows),Mark Smith,2,4:15,Bantamweight,2021-12-11T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 269 - Oliveira vs. Poirier
Gillian Robertson,Priscila Cachoeira,"


                        1                    ",Submission (Rear-Naked Choke),Chris Tognoni,1,4:59,129lb Catchweight,2021-12-11T00:00:00-08:00," T-Mobile Arena, Las Vegas, Nevada, United States",UFC 269 - Oliveira vs. Poirier
"
Jose Aldo
","
Rob Font
",Match 13,Method Decision (Unanimous),Referee Keith Peterson,Round 5,Time 5:00,Bantamweight,2021-12-04T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 31 - Font vs. Aldo
Rafael Fiziev,Brad Riddell,"


                        12                    ",KO (Spinning Wheel Kick),Herb Dean,3,2:20,Lightweight,2021-12-04T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 31 - Font vs. Aldo
Jamahal Hill,Jimmy Crute,"


                        11                    ",KO (Punches),Mark Smith,1,0:48,Light Heavyweight,2021-12-04T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 31 - Font vs. Aldo
Clay Guida,Leonardo Santos,"


                        10                    ",Submission (Rear-Naked Choke),Keith Peterson,2,1:21,Lightweight,2021-12-04T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 31 - Font vs. Aldo
Chris Curtis,Brendan Allen,"


                        9                    ",TKO (Punches and Knees),Herb Dean,2,1:58,Middleweight,2021-12-04T00:00:00-08:00," UFC Apex, Las Vegas, Nevada, United States",UFC on ESPN 31 - Font vs. Aldo
